"","order_ic1","GMDNR","GMDHISTID","GMDNAME","KTN_abr","KTNR","BZHISTID","BZNR","distance_to_start","GMDNAME_FR","GMDNAME_DE"
"1",1,6623,12606,"Le Grand-Saconnex","GE",25,10187,2500,2.61025114751272e-10,"Le Grand-Saconnex","Le Grand-Saconnex"
"2",2,6630,12430,"Meyrin","GE",25,10187,2500,3397.03795395701,"Meyrin","Meyrin"
"3",3,6643,10918,"Vernier","GE",25,10187,2500,20412.1503133913,"Vernier","Vernier"
"4",4,6621,12099,"Genève","GE",25,10187,2500,60099.9664284926,"Genève","Genf"
"5",5,6634,13110,"Pregny-Chambésy","GE",25,10187,2500,221835.731229194,"Pregny-Chambésy","Pregny-Chambésy"
"6",6,6606,11880,"Bellevue","GE",25,10187,2500,368033.169693816,"Bellevue","Bellevue"
"7",7,6622,12097,"Genthod","GE",25,10187,2500,493426.32498204,"Genthod","Genthod"
"8",8,6644,10921,"Versoix","GE",25,10187,2500,726517.112173617,"Versoix","Versoix"
"9",9,5723,14680,"Mies","VD",22,10280,2228,1103835.07688925,"Mies","Mies"
"10",10,5729,14897,"Tannay","VD",22,10280,2228,1332152.13016574,"Tannay","Tannay"
"11",11,5712,14794,"Coppet","VD",22,10280,2228,1483732.82380791,"Coppet","Coppet"
"12",12,5717,14750,"Founex","VD",22,10280,2228,1848797.99823637,"Founex","Founex"
"13",13,6610,11387,"Céligny","GE",25,10187,2500,2204337.63476371,"Céligny","Céligny"
"14",14,5713,16609,"Crans (VD)","VD",22,10280,2228,2578323.07139496,"Crans","Crans"
"15",15,5724,14659,"Nyon","VD",22,10280,2228,3088487.21996652,"Nyon","Nyon"
"16",16,5725,14582,"Prangins","VD",22,10280,2228,3810279.28708248,"Prangins","Prangins"
"17",17,5721,14733,"Gland","VD",22,10280,2228,4626015.99640105,"Gland","Gland"
"18",18,5855,14712,"Dully","VD",22,10280,2228,5440797.54634424,"Dully","Dully"
"19",19,5858,14638,"Luins","VD",22,10280,2228,5614701.29084887,"Luins","Luins"
"20",20,5853,14840,"Bursins","VD",22,10280,2228,5887591.32432085,"Bursins","Bursins"
"21",21,5852,14837,"Bursinel","VD",22,10280,2228,6192980.01915536,"Bursinel","Bursinel"
"22",22,5857,14739,"Gilly","VD",22,10280,2228,6422713.55444891,"Gilly","Gilly"
"23",23,5861,14604,"Rolle","VD",22,10280,2228,6922989.61823856,"Rolle","Rolle"
"24",24,5859,14694,"Mont-sur-Rolle","VD",22,10280,2228,7590653.45709251,"Mont-sur-Rolle","Mont-sur-Rolle"
"25",25,5860,14558,"Perroy","VD",22,10280,2228,7924389.10040508,"Perroy","Perroy"
"26",26,5427,14743,"Féchy","VD",22,10279,2227,8488986.42847414,"Féchy","Féchy"
"27",27,5851,14782,"Allaman","VD",22,10279,2227,8740617.78382449,"Allaman","Allaman"
"28",28,5636,14703,"Etoy","VD",22,10279,2227,9542293.45057059,"Etoy","Etoy"
"29",29,5646,14587,"Saint-Prex","VD",22,10279,2227,10103937.8509097,"Saint-Prex","Saint-Prex"
"30",30,5623,14844,"Buchillon","VD",22,10279,2227,10134374.6579178,"Buchillon","Buchillon"
"31",31,5639,14636,"Lully (VD)","VD",22,10279,2227,11898039.6553544,"Lully","Lully"
"32",32,5649,14880,"Tolochenaz","VD",22,10279,2227,12177650.5441639,"Tolochenaz","Tolochenaz"
"33",33,5642,14690,"Morges","VD",22,10279,2227,12742195.8386544,"Morges","Morges"
"34",34,5638,14622,"Lonay","VD",22,10279,2227,14186922.5318868,"Lonay","Lonay"
"35",35,5632,14822,"Denges","VD",22,10279,2227,15249299.5568871,"Denges","Denges"
"36",36,5633,14718,"Echandens","VD",22,10279,2227,15506860.4557641,"Echandens","Echandens"
"37",37,5635,14721,"Ecublens (VD)","VD",22,10281,2229,16135299.3678111,"Ecublens","Ecublens"
"38",38,5624,15651,"Bussigny","VD",22,10281,2229,16563229.3787366,"Bussigny","Bussigny"
"39",39,5583,14832,"Crissier","VD",22,10281,2229,17087013.1618704,"Crissier","Crissier"
"40",40,5591,14580,"Renens (VD)","VD",22,10281,2229,17270638.6942585,"Renens","Renens"
"41",41,5589,14575,"Prilly","VD",22,10281,2229,17866426.3114395,"Prilly","Prilly"
"42",42,5586,14649,"Lausanne","VD",22,10277,2225,17999092.717709,"Lausanne","Lausanne"
"43",43,5590,14574,"Pully","VD",22,10278,2226,19993171.6596251,"Pully","Pully"
"44",44,5581,14760,"Belmont-sur-Lausanne","VD",22,10278,2226,20922688.0327453,"Belmont-sur-Lausanne","Belmont-sur-Lausanne"
"45",45,5606,14640,"Lutry","VD",22,10278,2226,21078370.944295,"Lutry","Lutry"
"46",46,5613,15493,"Bourg-en-Lavaux","VD",22,10278,2226,22506493.2905747,"Bourg-en-Lavaux","Bourg-en-Lavaux"
"47",47,5607,14573,"Puidoux","VD",22,10278,2226,24852718.1401556,"Puidoux","Puidoux"
"48",48,2328,12120,"Granges (Veveyse)","FR",10,10101,1007,28873944.4301633,"Granges (Veveyse)","Granges (Veveyse)"
"49",49,2323,11799,"Bossonnens","FR",10,10101,1007,30610531.0250744,"Bossonnens","Bossonnens"
"50",50,5805,16617,"Oron","VD",22,10278,2226,30791525.6653562,"Oron","Oron"
"51",51,2066,11444,"Chapelle (Glâne)","FR",10,10106,1002,32572703.4255974,"Chapelle (Glâne)","Chapelle (Glâne)"
"52",52,2097,14140,"Rue","FR",10,10106,1002,32698400.6508899,"Rue","Rue"
"53",53,2102,15500,"Ursy","FR",10,10106,1002,35334037.8329752,"Ursy","Ursy"
