"","order_ic1","GMDNR","GMDHISTID","GMDNAME","KTN_abr","KTNR","BZHISTID","BZNR","distance_to_start","GMDNAME_FR","GMDNAME_DE"
"54",54,2099,14477,"Siviriez","FR",10,10106,1002,37168595.0962094,"Siviriez","Siviriez"
"55",55,2096,13663,"Romont (FR)","FR",10,10106,1002,42597758.6344476,"Romont","Romont"
"56",56,2117,16132,"Villaz","FR",10,10106,1002,46952574.2392941,"Villaz","Villaz"
"57",57,2177,11502,"Chénens","FR",10,10104,1004,52902397.5821569,"Chénens","Chénens"
"58",58,2173,11657,"Autigny","FR",10,10104,1004,54931520.2389837,"Autigny","Autigny"
"59",59,2186,11540,"Cottens (FR)","FR",10,10104,1004,55986218.6238325,"Cottens","Cottens"
"60",60,2211,12521,"Neyruz (FR)","FR",10,10104,1004,58430235.5289052,"Neyruz","Neyruz"
"61",61,2174,14143,"Avry","FR",10,10104,1004,60938925.9422645,"Avry","Avry"
"62",62,2208,12744,"Matran","FR",10,10104,1004,62529087.596333,"Matran","Matran"
"63",63,2183,15692,"Corminboeuf","FR",10,10104,1004,63628503.2125193,"Corminboeuf","Corminboeuf"
"64",64,2228,10162,"Villars-sur-Glâne","FR",10,10104,1004,65683348.7892719,"Villars-sur-Glâne","Villars-sur-Glâne"
"65",65,2196,11954,"Fribourg","FR",10,10104,1004,68646790.3069968,"Fribourg","Freiburg"
"66",66,2198,12111,"Granges-Paccot","FR",10,10104,1004,72450542.858233,"Granges-Paccot","Granges-Paccot"
"67",67,2293,12204,"Düdingen","FR",10,10102,1006,73708308.7126648,"Guin","Düdingen"
"68",68,2305,13041,"Schmitten (FR)","FR",10,10102,1006,81659258.8173422,"Schmitten","Schmitten"
"69",69,2295,13193,"Bösingen","FR",10,10102,1006,82734117.3364643,"Bösingen","Bösingen"
"70",70,2309,13232,"Wünnewil-Flamatt","FR",10,10102,1006,85187928.0733159,"Wünnewil-Flamatt","Wünnewil-Flamatt"
"71",71,670,15204,"Neuenegg","BE",2,10288,246,95523880.2345997,"Neuenegg","Neuenegg"
"72",72,355,15033,"Köniz","BE",2,10288,246,96034930.0789976,"Köniz","Köniz"
"73",73,351,15029,"Bern","BE",2,10288,246,102572972.274878,"Berne","Bern"
"74",74,362,15040,"Ittigen","BE",2,10288,246,115901596.768528,"Ittigen","Ittigen"
"75",75,361,15039,"Zollikofen","BE",2,10288,246,117638587.582321,"Zollikofen","Zollikofen"
"76",76,352,15030,"Bolligen","BE",2,10288,246,119341964.868839,"Bolligen","Bolligen"
"77",77,544,15123,"Moosseedorf","BE",2,10288,246,122416440.97157,"Moosseedorf","Moosseedorf"
"78",78,551,15130,"Urtenen-Schönbühl","BE",2,10288,246,124189501.68255,"Urtenen-Schönbühl","Urtenen-Schönbühl"
"79",79,543,15122,"Mattstetten","BE",2,10288,246,125966840.880418,"Mattstetten","Mattstetten"
"80",80,403,15060,"Bäriswil","BE",2,10288,246,126470234.066969,"Bäriswil","Bäriswil"
"81",81,409,16607,"Hindelbank","BE",2,10287,245,129240388.621153,"Hindelbank","Hindelbank"
"82",82,411,15068,"Kernenried","BE",2,10287,245,133567870.41536,"Kernenried","Kernenried"
"83",83,538,15633,"Fraubrunnen","BE",2,10288,246,138418070.001557,"Fraubrunnen","Fraubrunnen"
"84",84,420,15077,"Rüdtligen-Alchenflüh","BE",2,10287,245,138837055.943675,"Rüdtligen-Alchenflüh","Rüdtligen-Alchenflüh"
"85",85,412,15069,"Kirchberg (BE)","BE",2,10287,245,141639925.65281,"Kirchberg","Kirchberg"
"86",86,405,15673,"Ersigen","BE",2,10287,245,143731296.025624,"Ersigen","Ersigen"
"87",87,552,15131,"Utzenstorf","BE",2,10287,245,145073980.134086,"Utzenstorf","Utzenstorf"
"88",88,413,15070,"Koppigen","BE",2,10287,245,149969252.266504,"Koppigen","Koppigen"
"89",89,2530,13739,"Recherswil","SO",11,10232,1106,153931422.61169,"Recherswil","Recherswil"
"90",90,2535,15603,"Drei Höfe","SO",11,10232,1106,156796544.719405,"Drei Höfe","Drei Höfe"
"91",91,2520,13729,"Halten","SO",11,10232,1106,157950125.78054,"Halten","Halten"
"92",92,2523,13732,"Horriwil","SO",11,10232,1106,160612615.852615,"Horriwil","Horriwil"
"93",93,2518,13727,"Etziken","SO",11,10232,1106,161349248.442476,"Etziken","Etziken"
"94",94,2511,15508,"Aeschi (SO)","SO",11,10232,1106,162648764.940798,"Aeschi","Aeschi"
"95",95,2514,13723,"Bolken","SO",11,10232,1106,165251723.411454,"Bolken","Bolken"
"96",96,980,15365,"Inkwil","BE",2,10286,244,167458139.902047,"Inkwil","Inkwil"
"97",97,977,15362,"Heimenhausen","BE",2,10286,244,168893961.418896,"Heimenhausen","Heimenhausen"
"98",98,979,15364,"Herzogenbuchsee","BE",2,10286,244,170593832.049947,"Herzogenbuchsee","Herzogenbuchsee"
"99",99,342,15026,"Thunstetten","BE",2,10286,244,175970311.226264,"Thunstetten","Thunstetten"
"100",100,329,16606,"Langenthal","BE",2,10286,244,181243297.932955,"Langenthal","Langenthal"
"101",101,337,15021,"Roggwil (BE)","BE",2,10286,244,187542579.153046,"Roggwil","Roggwil"
"102",102,345,15028,"Wynau","BE",2,10286,244,192422812.416728,"Wynau","Wynau"
"103",103,4279,12335,"Murgenthal","AG",19,10017,1910,195021156.533716,"Murgenthal","Murgenthal"
"104",104,4282,12852,"Rothrist","AG",19,10017,1910,203392636.190524,"Rothrist","Rothrist"
"105",105,4271,11738,"Aarburg","AG",19,10017,1910,212672381.982668,"Aarburg","Aarburg"
"106",106,2581,12486,"Olten","SO",11,10111,1108,212907383.647106,"Olten","Olten"
"107",107,2573,12199,"Dulliken","SO",11,10111,1108,224172704.563517,"Dulliken","Dulliken"
"108",108,2572,11580,"Däniken","SO",11,10111,1108,227042239.218306,"Däniken","Däniken"
"109",109,2576,13230,"Gretzenbach","SO",11,10111,1108,231636218.611172,"Gretzenbach","Gretzenbach"
"110",110,2583,12971,"Schönenwerd","SO",11,10111,1108,234525636.57849,"Schönenwerd","Schönenwerd"
"111",111,2574,12309,"Eppenberg-Wöschnau","SO",11,10111,1108,240212128.481938,"Eppenberg-Wöschnau","Eppenberg-Wöschnau"
"112",112,4001,15385,"Aarau","AG",19,10026,1901,242364832.563353,"Aarau","Aarau"
"113",113,4003,11454,"Buchs (AG)","AG",19,10026,1901,248542905.858828,"Buchs","Buchs"
"114",114,4206,12833,"Rupperswil","AG",19,10020,1907,257000955.335277,"Rupperswil","Rupperswil"
"115",115,4201,12782,"Lenzburg","AG",19,10020,1907,261189481.894851,"Lenzburg","Lenzburg"
"116",116,4205,13113,"Othmarsingen","AG",19,10020,1907,268450861.340155,"Othmarsingen","Othmarsingen"
"117",117,4032,12712,"Mägenwil","AG",19,10025,1902,273925991.532093,"Mägenwil","Mägenwil"
"118",118,4046,10356,"Wohlenschwil","AG",19,10025,1902,278668599.289293,"Wohlenschwil","Wohlenschwil"
"119",119,4033,12384,"Mellingen","AG",19,10025,1902,283509653.443035,"Mellingen","Mellingen"
"120",120,4027,11998,"Fislisbach","AG",19,10025,1902,286269029.478222,"Fislisbach","Fislisbach"
"121",121,4035,12565,"Niederrohrdorf","AG",19,10025,1902,290678529.806708,"Niederrohrdorf","Niederrohrdorf"
"122",122,4037,12453,"Oberrohrdorf","AG",19,10025,1902,291989491.717773,"Oberrohrdorf","Oberrohrdorf"
"123",123,4034,12514,"Neuenhof","AG",19,10025,1902,294158601.314765,"Neuenhof","Neuenhof"
"124",124,4030,12693,"Killwangen","AG",19,10025,1902,298741530.860059,"Killwangen","Killwangen"
"125",125,4040,10366,"Spreitenbach","AG",19,10025,1902,300154117.651698,"Spreitenbach","Spreitenbach"
"126",126,243,13691,"Dietikon","ZH",1,10229,111,303731934.06848,"Dietikon","Dietikon"
"127",127,247,13695,"Schlieren","ZH",1,10229,111,308400233.885573,"Schlieren","Schlieren"
"128",128,261,13688,"Zürich","ZH",1,10228,112,315642519.55143,"Zurich","Zürich"
"129",129,66,12483,"Opfikon","ZH",1,10081,103,335244072.02767,"Opfikon","Opfikon"
"130",130,62,16656,"Kloten","ZH",1,10081,103,338069875.31207,"Kloten","Kloten"
"131",131,52,11685,"Bassersdorf","ZH",1,10081,103,347633025.119106,"Bassersdorf","Bassersdorf"
"132",132,176,12821,"Lindau","ZH",1,10076,108,355749212.016444,"Lindau","Lindau"
"133",133,296,15671,"Illnau-Effretikon","ZH",1,10076,108,359110248.785309,"Illnau-Effretikon","Illnau-Effretikon"
"134",134,230,10347,"Winterthur","ZH",1,10074,110,370105994.817799,"Winterthour","Winterthur"
"135",135,219,12294,"Elsau","ZH",1,10074,110,391844903.442479,"Elsau","Elsau"
"136",136,294,16081,"Elgg","ZH",1,10074,110,402804365.3147,"Elgg","Elgg"
"137",137,4551,15442,"Aadorf","TG",20,10296,2014,415067942.875125,"Aadorf","Aadorf"
"138",138,4721,15443,"Bichelsee-Balterswil","TG",20,10296,2014,420822248.309971,"Bichelsee-Balterswil","Bichelsee-Balterswil"
"139",139,4724,15454,"Eschlikon","TG",20,10296,2014,424108824.293239,"Eschlikon","Eschlikon"
"140",140,4761,15453,"Sirnach","TG",20,10296,2014,429497885.797074,"Sirnach","Sirnach"
"141",141,3427,15610,"Wil (SG)","SG",17,10268,1728,441873193.236264,"Wil","Wil"
"142",142,4751,15463,"Rickenbach (TG)","TG",20,10296,2014,444844121.675354,"Rickenbach","Rickenbach"
"143",143,3405,14454,"Jonschwil","SG",17,10268,1728,449028215.072254,"Jonschwil","Jonschwil"
"144",144,3408,14457,"Uzwil","SG",17,10268,1728,451366804.98544,"Uzwil","Uzwil"
"145",145,3407,14456,"Oberuzwil","SG",17,10268,1728,464595590.777462,"Oberuzwil","Oberuzwil"
"146",146,3402,14452,"Flawil","SG",17,10268,1728,475880681.098284,"Flawil","Flawil"
"147",147,3443,14466,"Gossau (SG)","SG",17,10266,1721,484322276.527689,"Gossau","Gossau"
"148",148,3203,14380,"St. Gallen","SG",17,10266,1721,503416489.404209,"Saint-Gall","St. Gallen"
