"","order_ic21","GMDNR","GMDHISTID","GMDNAME","KTN_abr","KTNR","BZHISTID","BZNR","distance_to_start","GMDNAME_FR","GMDNAME_DE"
"62",62,1206,12238,"Erstfeld","UR",4,10061,400,86154330.1160777,"Erstfeld","Erstfeld"
"63",63,1216,12985,"Silenen","UR",4,10061,400,89045843.0305269,"Silenen","Silenen"
"64",64,3986,16042,"Tujetsch","GR",18,10316,1850,109649329.573427,"Tujetsch","Tujetsch"
"65",65,3983,16040,"Medel (Lucmagn)","GR",18,10316,1850,130339329.563123,"Medel (Lucmagn)","Medel (Lucmagn)"
"66",66,5079,13092,"Quinto","TI",21,10005,2103,136507166.495318,"Quinto","Quinto"
"67",67,5049,14918,"Blenio","TI",21,10006,2102,141119667.188663,"Blenio","Blenio"
"68",68,5072,15685,"Faido","TI",21,10005,2103,147424668.353137,"Faido","Faido"
"69",69,5064,11815,"Bodio","TI",21,10005,2103,182409416.77455,"Bodio","Bodio"
"70",70,5077,13084,"Pollegio","TI",21,10005,2103,187779164.187856,"Pollegio","Pollegio"
"71",71,5281,11904,"Biasca","TI",21,10040,2107,192664877.136689,"Biasca","Biasca"
"72",72,5287,16079,"Riviera","TI",21,10040,2107,201353767.36364,"Riviera","Riviera"
"73",73,5002,16078,"Bellinzona","TI",21,10007,2101,215362591.565065,"Bellinzone","Bellinzona"
"74",74,5001,11768,"Arbedo-Castione","TI",21,10007,2101,226047966.691383,"Arbedo-Castione","Arbedo-Castione"
"75",75,5017,13012,"Sant'Antonino","TI",21,10007,2101,241150530.873306,"Sant'Antonino","Sant'Antonino"
"76",76,5009,12665,"Isone","TI",21,10007,2101,245326421.50713,"Isone","Isone"
"77",77,5238,15392,"Monteceneri","TI",21,10003,2105,250775920.864682,"Monteceneri","Monteceneri"
"78",78,5226,14938,"Capriasca","TI",21,10003,2105,251856813.463137,"Capriasca","Capriasca"
"79",79,5212,13138,"Ponte Capriasca","TI",21,10003,2105,262979220.054717,"Ponte Capriasca","Ponte Capriasca"
"80",80,5208,12488,"Origlio","TI",21,10003,2105,264830222.129438,"Origlio","Origlio"
"81",81,5180,11570,"Cureglia","TI",21,10003,2105,268036297.630753,"Cureglia","Cureglia"
"82",82,5231,10943,"Vezia","TI",21,10003,2105,271235247.228032,"Vezia","Vezia"
"83",83,5221,13059,"Savosa","TI",21,10003,2105,274665383.483336,"Savosa","Savosa"
"84",84,5192,15628,"Lugano","TI",21,10003,2105,274764546.203867,"Lugano","Lugano"
"85",85,5196,12749,"Massagno","TI",21,10003,2105,275887761.18635,"Massagno","Massagno"
